id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50904,aplace/antwerp: cosy suite - fashion district,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Hotel room,167,1,3,2022-05-15,0.02,7,329,0,
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.2015,4.40004,Entire home/apt,72,3,123,2025-03-03,0.79,3,226,21,
363155,1-bedroom apartment with court yard,1835458,Roos,,Amandus - Atheneum,51.22109,4.41812,Entire home/apt,71,6,33,2024-07-21,0.21,1,286,1,
366252,ROOM IN FAMILY HOME near C. Station,1820186,Godelieve,,Borgerhout Intra Muros Noord,51.21602,4.43472,Private room,33,1,162,2024-09-26,1.03,2,201,1,
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.21943,4.39815,Entire home/apt,,2,0,,,1,0,0,
603545,*Perfect* for a Longer Stay | Trendy | City center,2987880,Cédric,,Harmonie,51.20819,4.40597,Entire home/apt,75,5,46,2024-11-08,0.31,1,319,10,
772842,Stylish Boho Loftstyle Appartment w/ Amazing Views,4050173,Daisy,,Linkeroever,51.21843,4.38422,Entire home/apt,99,1,80,2025-03-03,0.54,1,147,6,
778043,cosy & beautiful apartment Antwerp,1735092,Marc & Elizabeth,,Stadspark,51.20446,4.41337,Entire home/apt,77,2,93,2025-03-03,0.62,1,314,7,
813969,150 m² loft (terrace & river view),4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,243,1,137,2024-12-01,1.15,3,99,6,
891884,aplace/antwerp: amazing suite & square view,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Hotel room,167,1,3,2022-05-10,0.05,7,322,0,
891907,aplace/antwerp: stunning flat with square view,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,190,2,31,2024-12-16,0.24,7,305,6,
959200,Artistic Guesthouse Anita - Hidden Gem in Antwerp,4715596,Caroline,,Borgerhout Intra Muros Noord,51.21531295776367,4.438202857971191,Entire home/apt,,1,79,2025-02-23,0.57,3,61,7,
991824,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,68,1,377,2025-02-23,2.60,2,318,38,
1050693,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,72,1,35,2025-03-02,0.25,2,315,4,
1123076,"Two-bedroom Apartment
 Antwerp",5104070,Tim,,Universiteitsbuurt,51.22266574900081,4.411493147724809,Entire home/apt,79,2,0,,,1,349,0,
1172507,"Number22Antwerp ,street Floor",6068286,Frédéric,,Zuid,51.21174,4.39944,Entire home/apt,68,2,192,2025-01-02,1.37,1,304,1,
1184623,Penthouse in Antwerp-Eilandje,4865806,Tommie,,Eilandje,51.23006,4.40869,Entire home/apt,180,2,42,2025-03-03,0.30,2,60,6,
1227242,Cosy ship Auwe Neel Antwerp Belgium,4193029,Jan,,Eilandje,51.22861,4.40386,Private room,57,1,86,2024-12-01,1.39,2,328,21,
1328770,Cosy historic Ship Hannus  Antwerp,4193029,Jan,,Eilandje,51.22868,4.40399,Private room,57,1,222,2025-02-09,1.56,2,309,18,
1444602,Beautiful and spacious apartment with garden,7755956,Sabien,,Zurenborg,51.20819,4.42707,Entire home/apt,,5,18,2023-08-31,0.13,1,0,0,
1669599,Loft appartement Antwerp,7776913,Morris,,Tentoonstellingswijk,51.19112,4.38969,Entire home/apt,136,2,0,,,1,88,0,
1808782,LOFT 1D  - conceptual loft,9478810,Keith,,Sint-Andries,51.21232,4.39571,Entire home/apt,117,2,289,2025-03-09,2.11,1,62,28,
1856023,"Ray of Light, Het Eilandje",9686695,Caroline,,Eilandje,51.23144,4.4048,Entire home/apt,86,5,24,2025-01-17,0.24,2,263,1,
1897272,Casa Ambera,9174116,Sascha,,Haringrode,51.20079,4.41933,Entire home/apt,270,2,62,2019-07-29,0.45,2,363,0,
2282418,Appartement met 1 slaapkamer,11633996,Samira,,Borgerhout Extra Muros,51.21264,4.45213,Entire home/apt,,2,196,2024-08-28,1.64,1,0,22,
2448815,Maison Nationale Penthouse Suite,450285303,Lander,,Sint-Andries,51.21603012084961,4.399158954620361,Entire home/apt,198,1,0,,,11,279,0,
2474748,Sunny house Antwerp-Zuid. Parking spot included.,7818030,Dominique,,Zuid,51.20907,4.38672,Entire home/apt,280,2,259,2025-03-09,1.93,2,36,22,
2507353,Cosy private room near station/town,2330818,Annemie,,Amandus - Atheneum,51.21877,4.42976,Private room,47,2,207,2025-03-18,1.55,1,251,34,
2543695,aplace/antwerp: gorgeous flat with square view,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,190,1,38,2024-11-14,0.30,7,336,5,
2602613,Light and spacious duplex apartment,13330269,Joelle,,Borgerhout Intra Muros Zuid,51.21595,4.43032,Entire home/apt,54,2,299,2025-03-03,2.24,1,10,47,
2659281,Gezellig rijtjeshuis met tuin vlakbij groot park.,6602849,Rudina,,Deurne Dorp - Gallifort,51.21962,4.45746,Entire home/apt,200,2,15,2024-10-28,0.47,1,33,6,
2682808,Cosy room in a charming house,13733939,An,,Oud - Berchem,51.19926,4.42986,Private room,40,2,545,2025-02-28,4.08,1,294,46,
2819412,"laterrebleue-'my house, your house'",14423888,Terra,,Borgerhout Intra Muros Zuid,51.20914,4.43539,Private room,51,1,169,2025-03-02,1.42,1,360,10,
3426775,100 year old renovated home,14793024,Jorge,,Oud - Berchem,51.19884,4.42074,Entire home/apt,76,5,26,2022-08-07,0.21,1,10,0,
3581864,Sunny apartment with view on new ZUID park!,7386200,Mathieu,,Zuid,51.21179,4.39336,Entire home/apt,72,2,155,2025-03-02,1.20,1,77,27,
3857702,Apartment - 4 Guests - City Center Antwerp,19891615,Bart,,Universiteitsbuurt,51.22173,4.4092,Entire home/apt,184,2,43,2023-10-29,0.36,3,302,0,
3860392,Studio - City Center Antwerp,19891615,Bart,,Universiteitsbuurt,51.22118,4.4078,Private room,72,2,6,2024-03-04,0.05,3,307,0,
4032738,"Roof apartment, 1 bedroom",20906634,Sirene,,Borgerhout Intra Muros Noord,51.21566,4.43575,Entire home/apt,,2,19,2025-03-02,0.15,1,165,2,
4265913,stadswoning/privé-parking/elektrisch laden,22144864,Greet,,Amandus - Atheneum,51.21765,4.4284,Entire home/apt,,2,29,2024-08-11,0.23,4,354,1,
4266515,"gastenkamer met en-suite badkamer, parking",22144864,Greet,,Amandus - Atheneum,51.218739887595014,4.428639977092803,Private room,228,2,0,,,4,362,0,
4322521,Duplex with sauna & piano Antwerp,15216532,Pascal,,Zuid,51.20585,4.38986,Entire home/apt,,2,329,2025-01-02,2.64,2,0,12,
